Naam (REGIS II),Oude code,Groepscode,Wijziging,Nieuwe code,Toelichting
"Kiezelooliet Formatie, tweede zandige eenheid",KIz2,NU,,NUKIz2,
"Kiezelooliet Formatie, tweede kleiige eenheid",KIk2,NU,,NUKIk2,
"Kiezelooliet Formatie, derde zandige eenheid",KIz3,NU,,NUKIz3,
"Kiezelooliet Formatie, derde kleiige eenheid",KIk3,NU,,NUKIk3,
"Kiezelooliet Formatie, vierde zandige eenheid",KIz4,NU,,NUKIz4,
"Kiezelooliet Formatie, vierde kleiige eenheid",KIk4,NU,,NUKIk4,
"Kiezelooliet Formatie, vijfde zandige eenheid",KIz5,NU,,NUKIz5,
"Formatie van Oosterhout, zandige eenheid",OOz,NU,,NUOOz,
"Formatie van Oosterhout, eerste zandige eenheid",OOz1,NU,,NUOOz1,
"Formatie van Oosterhout, eerste kleiige eenheid",OOk1,NU,,NUOOk1,
"Formatie van Oosterhout, tweede zandige eenheid",OOz2,NU,,NUOOz2,
"Formatie van Oosterhout, complexe eenheid",OOc,NU,,NUOOc,
"Formatie van Inden, zandige eenheid",IEz,NU,,NUIEz,
"Formatie van Inden, eerste zandige eenheid",IEz1,NU,,NUIEz1,
"Formatie van Inden, eerste kleiige eenheid",IEk1,NU,,NUIEk1,
"Formatie van Inden, tweede zandige eenheid",IEz2,NU,,NUIEz2,
"Formatie van Inden, tweede kleiige eenheid",IEk2,NU,,NUIEk2,
"Formatie van Inden, derde zandige eenheid",IEz3,NU,,NUIEz3,
"Formatie van Breda, zandige eenheid",BRz,NU,,NUBRz,
"Formatie van Breda, eerste zandige eenheid",BRz1,NU,,NUBRz1,
"Formatie van Breda, eerste kleiige eenheid",BRk1,NU,,NUBRk1,
"Formatie van Breda, tweede zandige eenheid",BRz2,NU,,NUBRz2,
"Formatie van Ville, eerste bruinkooleenheid",VIb1,NU,,NUVIb1,
"Formatie van Breda, derde zandige eenheid",BRz3,NU,,NUBRz3,
"Formatie van Ville, tweede bruinkooleenheid",VIb2,NU,,NUVIb2,
"Formatie van Breda, vierde zandige eenheid",BRz4,NU,,NUBRz4,
"Formatie van Veldhoven, Laagpakket van Voort, complexe eenheid",VEVOc,NM,,NMVEVOc,
"Rupel Formatie, zandige eenheid",RUz,NM,,NMRUz,
"Rupel Formatie, eerste zandige eenheid",RUz1,NM,,NMRUz1,
"Rupel Formatie, Laagpakket van Boom, eerste kleiige eenheid",RUBOk1,NM,,NMRUBOk1,
"Rupel Formatie, tweede zandige eenheid",RUz2,NM,,NMRUz2,
"Rupel Formatie, eerste kleiige eenheid",RUk1,NM,,NMRUk1,
"Rupel Formatie, derde zandige eenheid",RUz3,NM,,NMRUz3,
"Rupel Formatie, tweede kleiige eenheid",RUk2,NM,,NMRUk2,
"Rupel Formatie, vierde zandige eenheid",RUz4,NM,,NMRUz4,
"Formatie van Tongeren, zandige eenheid",TOz,NM,,NMTOz,
"Formatie van Tongeren, eerste zandige eenheid",TOz1,NM,,NMTOz1,
"Formatie van Tongeren, Laagpakket van Goudsberg, eerste kleiige eenheid",TOGOk1,NM,,NMTOGOk1,
"Formatie van Tongeren, tweede zandige eenheid",TOz2,NM,,NMTOz2,
"Formatie van Tongeren, Laagpakket van Watervliet, eerste kleiige eenheid",TOZEWAk1,NM,TOWAk1,NMTOWAk1,4
"Formatie van Tongeren, derde zandige eenheid",TOz3,NM,,NMTOz3,
"Formatie van Dongen, zandige eenheid",DOz,NL,,NLDOz,
"Formatie van Dongen, eerste zandige eenheid",DOz1,NL,,NLDOz1,
"Formatie van Dongen, Laagpakket van Asse, eerste kleiige eenheid",DOASk1,NL,,NLDOASk1,
"Formatie van Dongen, tweede zandige eenheid",DOz2,NL,,NLDOz2,
"Formatie van Dongen, eerste kleiige eenheid",DOk1,NL,,NLDOk1,
"Formatie van Dongen, derde zandige eenheid",DOz3,NL,,NLDOz3,
"Formatie van Dongen, Laagpakket van Ieper, eerste kleiige eenheid",DOIEk1,NL,,NLDOIEk1,
"Formatie van Dongen, vierde zandige eenheid",DOz4,NL,,NLDOz4,
"Formatie van Landen, complexe eenheid",LAc,NL,,NLLAc,
"Formatie van Heijenrath, complexe eenheid",HTc,NU,,NUHTc,
"Formatie van Houthem, kalksteeneenheid",HOq,CK,HMq,CKHMq,5
"Formatie van Maastricht, kalksteeneenheid",MTq,CK,MAq,CKMAq,5
"Formatie van Gulpen, kalksteeneenheid",GUq,CK,GPq,CKGPq,5
"Formatie van Vaals, complexe eenheid",VAc,CK,,CKVAc,
"Formatie van Aken, complexe eenheid",AKc,CK,,CKAKc,
,,,,,
"Toelichting bij de wijzigingen in REGIS II, anders dan het toevoegen van de groepscode:",,,,,
,,,,,
"1.    De Holocene afzettingen zijn niet als zodanig gedefinieerd in de Nomenclator. Het formatiedeel van de code (‘hl’) wordt daarom met kleine letters geschreven, gevolgd door de ‘c’ van complexe eenheid. De eenheid omvat de formaties van Naaldwijk, Echteld, Nieuwkoop en Kreekrak, de antropogene afzettingen en delen van de formaties van Boxtel en Beegden.",,,,,
"2.    De door landijs gestuwde afzettingen zijn niet als zodanig gedefinieerd in de Nomenclator. Het formatiedeel van de code (‘gs’) wordt daarom met kleine letters geschreven wordt, gevolgd door de ‘c’ van complexe eenheid. De eenheid bestaat uit gestuwd materiaal van één of meerdere oudere formaties.",,,,,
3.    De formaties van Peize en Waalre zijn gecombineerd in één eenheid waarbij beide codes gescheiden door een koppelstreepje worden opgenomen (‘NUPZ-WA’).,,,,,
4.    Het Laagpakket van Zelzate van de Formatie van Tongeren is vervallen; de Laag van Watervliet is een laagpakket geworden. De code verandert daarom van ‘TOZEWAk1’ naar ‘TOWAk1’.,,,,,
"5.    De formaties van Houthem, Maastricht en Gulpen hebben een nieuwe formatiecode gekregen.",,,,,
,,,,,
Toelichting op de algemene lithologische karakteristiek van de hydrogeologische eenheden van REGIS II (ongewijzigd in deze release):,,,,,
,,,,,
"        k - Kleiige hydrogeologische eenheid, overwegend bestaande uit klei, zandige klei en/of kleiig zand of leem.",,,,,
"        c - Complexe hydrogeologische eenheid, bestaande uit een afwisseling van zandige, kleiige en organogene afzettingen.",,,,,
"        v - Venige hydrogeologische eenheid, overwegend bestaande uit veen en/of bruinkool en andere organogene afzettingen.",,,,,
"        b - Hydrogeologische bruinkooleenheid, overwegend bestaande uit bruinkool.",,,,,
"        q - Kalksteen hydrogeologische eenheid, overwegend bestaande uit kalksteen, al dan niet afgewisseld met vuursteenbanken.",,,,,
"        z - Zandige hydrogeologische eenheid, overwegend bestaande uit zand (fijn tot en met grof zand), grind en/of schelpen.",,,,,
