STR_UNIT_CD,DESCRIPTION,VOXEL_NR,SEQ_NR,RED_DEC,GREEN_DEC,BLUE_DEC
GE,Door landijs gestuwde afzettingen,5020,64,156,156,156
DN,Formatie van Drachten,5030,65,250,250,210
URTY,"Formatie van Urk, Laagpakket van Tynje",5040,66,169,163,87
PE,Formatie van Peelo,5050,67,238,130,238
UR,Formatie van Urk,5060,68,189,183,107
ST,Formatie van Sterksel,5070,69,205,92,92
AP,Formatie van Appelscha,5080,70,218,165,32
SY,Formatie van Stramproy,5090,71,255,228,181
PZ,Formatie van Peize,5100,72,255,255,0
WA,Formatie van Waalre,5110,73,255,165,0
PZWA,Formatie van Peize en Formatie van Waalre,5120,74,255,204,0
MS,Formatie van Maassluis,5130,75,135,206,235
KI,Kiezeloöliet Formatie,5140,76,188,143,143
OO,Formatie van Oosterhout,5150,77,118,157,39
IE,Formatie van Inden,5160,78,236,121,193
VI,Formatie van Ville,5170,79,153,102,0
BR,Formatie van Breda,5180,80,108,188,150
VE,Formatie van Veldhoven,5185,,102,100,16
RUBO,"Rupel Formatie, Laagpakket van Boom",5190,81,154,78,163
RU,Rupel Formatie,5200,82,184,123,238
TOZEWA,"Formatie van Tongeren, Laagpakket van Zelzate, Laag van Watervliet",5210,83,80,144,194
TOGO,"Formatie van Tongeren, Laagpakket van Goudsberg",5220,84,70,129,169
TO,Formatie van Tongeren,5230,85,90,159,219
DOAS,"Formatie van Dongen, Laagpakket van Asse",5240,86,186,146,141
DOIE,"Formatie van Dongen, Laagpakket van Ieper",5250,87,206,176,191
DO,Formatie van Dongen,5260,88,216,191,216
LA,Formatie van Landen,5270,89,208,32,144
HT,Formatie van Heijenrath,5280,90,178,34,34
HO,Formatie van Houthem,5290,91,210,105,30
MT,Formatie van Maastricht,5300,92,255,160,102
GU,Formatie van Gulpen,5310,93,245,222,179
VA,Formatie van Vaals,5320,94,21,153,79
AK,Formatie van Aken,5330,95,152,231,205
AEC,Formatie van Echteld (geulafzettingen generatie A),6000,9,118,147,60
ABEOM,"Formatie van Beegden, Laagpakket van Oost-Maarland (geulafzettingen generatie A)",6005,33,118,147,60
ANAWA,"Formatie van Naaldwijk, Laagpakket van Walcheren (geulafzettingen generatie A)",6010,8,118,147,60
ANAWO,"Formatie van Naaldwijk, Laagpakket van Wormer (geulafzettingen generatie A)",6020,,118,147,60
BEC,Formatie van Echteld (geulafzettingen generatie B),6100,11,102,205,171
BNAWA,"Formatie van Naaldwijk, Laagpakket van Walcheren (geulafzettingen generatie B)",6110,10,102,205,171
BNAWO,"Formatie van Naaldwijk, Laagpakket van Wormer (geulafzettingen generatie B)",6120,,102,205,171
CEC,Formatie van Echteld (geulafzettingen generatie C),6200,22,170,196,255
CNAWA,"Formatie van Naaldwijk, Laagpakket van Walcheren (geulafzettingen generatie C)",6210,,170,196,255
CNAWO,"Formatie van Naaldwijk, Laagpakket van Wormer (geulafzettingen generatie C)",6220,,170,196,255
DEC,Formatie van Echteld (geulafzettingen generatie D),6300,24,102,153,205
DNAWA,"Formatie van Naaldwijk, Laagpakket van Walcheren (geulafzettingen generatie D)",6310,,102,153,205
DNAWO,"Formatie van Naaldwijk, Laagpakket van Wormer (geulafzettingen generatie D)",6320,23,102,153,205
EEC,Formatie van Echteld (geulafzettingen generatie E),6400,26,27,101,175
ENAWA,"Formatie van Naaldwijk, Laagpakket van Walcheren (geulafzettingen generatie E)",6410,,27,101,175
ENAWO,"Formatie van Naaldwijk, Laagpakket van Wormer (geulafzettingen generatie E)",6420,25,27,101,175
NN,Niet formeel ingedeelde afzettingen of onbekend,0,,85,85,85
